# Hidden,300 Epoch Acc,Testing Acc
63,97.73242,95.88203
67,97.73242,96.16027
71,97.8836,95.88203
75,98.03477,95.993324
79,98.185936,95.71508
83,98.4127,96.104614
87,97.95918,96.16027
91,97.95918,96.43851
95,98.185936,96.16027
99,98.563866,96.32721
103,98.33711,96.16027
107,98.185936,96.21591
111,98.185936,96.494156
115,98.33711,96.104614
119,98.4127,95.88203
123,98.11035,96.104614
127,98.4127,96.21591
131,98.4127,96.32721
135,98.33711,96.21591
139,98.185936,95.937675
