# Hidden,300 Epoch Acc,Testing Acc
60,97.80801,95.77073
64,97.65684,96.048965
68,97.50567,95.993324
72,98.03477,95.71508
76,97.80801,96.16027
80,97.8836,95.937675
84,97.95918,95.77073
88,98.33711,96.104614
92,98.03477,96.43851
96,98.11035,96.21591
100,97.80801,96.549805
104,98.185936,96.21591
108,98.48828,96.549805
112,98.185936,96.549805
116,98.185936,95.993324
120,98.26153,96.382866
124,98.4127,96.104614
128,98.4127,96.382866
132,98.33711,96.32721
136,98.26153,96.43851
